#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: EXEXM02_01_1997
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 19971203 TO 19971231
#LOCATION: Exmouth 02
#Station Status:  Current
#Lat: -21.954861  Long: 114.140889
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: LAT     which is   12.796   m below Benchmark   DMH 052   
#National Station ID:   62435 (ANTT)
#Site Description: Located in Exmouth marina.
#Tide Gauge Sensor:  Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 5
#
H(cm),YYYYMMDD.hhmm/
00195,19971203.1200/
00197,19971203.1205/
00199,19971203.1210/
00201,19971203.1215/
00202,19971203.1220/
00204,19971203.1225/
00205,19971203.1230/
00206,19971203.1235/
00207,19971203.1240/
00209,19971203.1245/
00210,19971203.1250/
00211,19971203.1255/
00212,19971203.1300/
00212,19971203.1305/
00211,19971203.1310/
00211,19971203.1315/
00211,19971203.1320/
00211,19971203.1325/
00211,19971203.1330/
00212,19971203.1335/
00212,19971203.1340/
00213,19971203.1345/
00211,19971203.1350/
00209,19971203.1355/
00208,19971203.1400/
00207,19971203.1405/
00206,19971203.1410/
00205,19971203.1415/
00204,19971203.1420/
00202,19971203.1425/
00201,19971203.1430/
00199,19971203.1435/
00198,19971203.1440/
00196,19971203.1445/
00194,19971203.1450/
00192,19971203.1455/
00189,19971203.1500/
00187,19971203.1505/
00184,19971203.1510/
00182,19971203.1515/
00179,19971203.1520/
00176,19971203.1525/
00173,19971203.1530/
00169,19971203.1535/
00165,19971203.1540/
00162,19971203.1545/
00158,19971203.1550/
00155,19971203.1555/
00153,19971203.1600/
00149,19971203.1605/
00146,19971203.1610/
00143,19971203.1615/
00140,19971203.1620/
00136,19971203.1625/
00133,19971203.1630/
00129,19971203.1635/
00126,19971203.1640/
00123,19971203.1645/
00120,19971203.1650/
00117,19971203.1655/
00115,19971203.1700/
00112,19971203.1705/
00109,19971203.1710/
00107,19971203.1715/
00105,19971203.1720/
00103,19971203.1725/
00101,19971203.1730/
00099,19971203.1735/
00097,19971203.1740/
00096,19971203.1745/
00094,19971203.1750/
00093,19971203.1755/
00092,19971203.1800/
00090,19971203.1805/
00089,19971203.1810/
00089,19971203.1815/
00088,19971203.1820/
00088,19971203.1825/
00089,19971203.1830/
00088,19971203.1835/
00088,19971203.1840/
00088,19971203.1845/
00088,19971203.1850/
00088,19971203.1855/
00089,19971203.1900/
00089,19971203.1905/
00090,19971203.1910/
00091,19971203.1915/
00092,19971203.1920/
00093,19971203.1925/
00094,19971203.1930/
00096,19971203.1935/
00097,19971203.1940/
00099,19971203.1945/
00101,19971203.1950/
00103,19971203.1955/
00106,19971203.2000/
00108,19971203.2005/
00110,19971203.2010/
00112,19971203.2015/
00114,19971203.2020/
00117,19971203.2025/
00120,19971203.2030/
00122,19971203.2035/
00125,19971203.2040/
00128,19971203.2045/
00131,19971203.2050/
00134,19971203.2055/
00138,19971203.2100/
00141,19971203.2105/
00144,19971203.2110/
00147,19971203.2115/
00150,19971203.2120/
00154,19971203.2125/
00157,19971203.2130/
00160,19971203.2135/
00163,19971203.2140/
00166,19971203.2145/
00170,19971203.2150/
00173,19971203.2155/
00177,19971203.2200/
00180,19971203.2205/
00183,19971203.2210/
00186,19971203.2215/
00189,19971203.2220/
00192,19971203.2225/
00195,19971203.2230/
00198,19971203.2235/
00201,19971203.2240/
00205,19971203.2245/
00207,19971203.2250/
00210,19971203.2255/
00213,19971203.2300/
00215,19971203.2305/
00218,19971203.2310/
00221,19971203.2315/
00223,19971203.2320/
00226,19971203.2325/
00228,19971203.2330/
00230,19971203.2335/
00232,19971203.2340/
00234,19971203.2345/
00235,19971203.2350/
00236,19971203.2355/
00238,19971204.0000/
00239,19971204.0005/
00240,19971204.0010/
00241,19971204.0015/
00241,19971204.0020/
00242,19971204.0025/
00243,19971204.0030/
00243,19971204.0035/
00243,19971204.0040/
00243,19971204.0045/
00243,19971204.0050/
00243,19971204.0055/
00243,19971204.0100/
00242,19971204.0105/
00241,19971204.0110/
00241,19971204.0115/
00240,19971204.0120/
00239,19971204.0125/
00238,19971204.0130/
00237,19971204.0135/
00236,19971204.0140/
00235,19971204.0145/
00233,19971204.0150/
00231,19971204.0155/
00229,19971204.0200/
00227,19971204.0205/
00225,19971204.0210/
00224,19971204.0215/
00221,19971204.0220/
00219,19971204.0225/
00216,19971204.0230/
